community_cor,community_scr,id,name,ranks
0,0,0,Bartail,1.890500552
0,0,1,Patch,0.996606898
0,0,2,Crease,1.163625196
0,0,3,Notch,0.607643252
0,0,4,Kink,0.506927826
0,0,5,Anon,0.207063714
0,0,6,Slitear,0.403575829
0,0,7,Scallop,0.413442357
0,0,8,Spunk,0.566490364
0,0,9,Sport,0.848414107
0,0,10,Spot,0.430734494
0,0,11,Sam,0.295909572
0,0,12,Nick,-0.125459843
0,1,13,X,-0.302226295
0,1,14,Mel,-0.448218946
0,1,15,Gary,-1.015327924
1,1,16,Andy,-0.814572518
0,1,17,Wong,-1.10998251
1,1,18,Gus,-1.100286804
1,1,19,Nip,-1.814572518
1,1,20,Jim,-1.600286804
